"Age at enrollment","Application order","1st sem (credited)","1st sem (enrolled)","1st sem (evaluations)","1st sem (approved)","1st sem (grade)","1st sem (without evaluations)","2nd sem (credited)","2nd sem (enrolled)","2nd sem (evaluations)","2nd sem (approved)","2nd sem (grade)","2nd sem (without evaluations)","Unemployment rate","Inflation rate","GDP","Target","Marital status","Gender","Daytime/evening attendance","Displaced","Educational special needs","Debtor","Tuition fees up to date","Scholarship holder","International","Application mode","Nationality","Course","Previous qualification","Mother's qualification","Father's qualification","Mother's occupation","Father's ocupation"
20,5,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout,Single,Male,Daytime,Yes,No,No,Yes,No,No,"2nd phase—general contingent",Portuguese,Animation and Multimedia Design,Secondary education,General commerce course,Other—11th Year of Schooling,"Personal Services, Security and Safety Workers, and Sellers",Unskilled Workers
19,1,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,Graduate,Single,Male,Daytime,Yes,No,No,No,No,No,International student (bachelor),Portuguese,Tourism,Secondary education,Secondary Education—12th Year of Schooling or Equivalent,Higher Education—degree,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions
19,5,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout,Single,Male,Daytime,Yes,No,No,No,No,No,"1st phase—general contingent",Portuguese,Communication Design,Secondary education,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,Unskilled Workers,Unskilled Workers
20,2,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate,Single,Female,Daytime,Yes,No,No,Yes,No,No,"2nd phase—general contingent",Portuguese,Journalism and Communication,Secondary education,Supplementary Accounting and Administration,Basic education 1st cycle (4th/5th year) or equivalent,"Personal Services, Security and Safety Workers, and Sellers",Intermediate Level Technicians and Professions
45,1,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate,Married,Female,Evening,No,No,No,Yes,No,No,Over 23 years old,Portuguese,Social Service (evening attendance),Secondary education,General Course of Administration and Commerce,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,Unskilled Workers,Unskilled Workers
50,1,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate,Married,Male,Evening,No,No,Yes,Yes,No,No,Over 23 years old,Portuguese,Management (evening attendance),Basic education 3rd cycle (9th/10th/11th year) or equivalent,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen"
18,1,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate,Single,Female,Daytime,Yes,No,No,Yes,Yes,No,"1st phase—general contingent",Portuguese,Nursing,Secondary education,General commerce course,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,"Skilled Workers in Industry, Construction, and Craftsmen",Armed Forces Professions
22,4,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout,Single,Male,Daytime,Yes,No,No,No,No,No,"3rd phase—general contingent",Portuguese,Tourism,Secondary education,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,Unskilled Workers,Unskilled Workers
21,3,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,16.2,0.3,-0.92,Graduate,Single,Female,Daytime,No,No,No,Yes,Yes,Yes,"1st phase—general contingent",Romanian,Social Service,Secondary education,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,Unskilled Workers,Unskilled Workers
18,1,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout,Single,Female,Daytime,Yes,No,Yes,No,No,No,"1st phase—general contingent",Portuguese,Social Service,Secondary education,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Administrative staff,"Skilled Workers in Industry, Construction, and Craftsmen"
18,1,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate,Single,Female,Daytime,Yes,No,No,Yes,No,No,"1st phase—general contingent",Portuguese,Advertising and Marketing Management,Secondary education,Supplementary Accounting and Administration,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,"Personal Services, Security and Safety Workers, and Sellers","Skilled Workers in Industry, Construction, and Craftsmen"
18,1,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,Graduate,Single,Female,Daytime,Yes,No,No,Yes,Yes,No,"1st phase—general contingent",Portuguese,Nursing,Secondary education,General commerce course,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,Unskilled Workers,Unskilled Workers
19,2,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout,Single,Female,Daytime,Yes,No,No,Yes,No,No,"1st phase—general contingent",Portuguese,Basic Education,Secondary education,General commerce course,Basic education 1st cycle (4th/5th year) or equivalent,Administrative staff,Unskilled Workers
21,1,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate,Single,Female,Daytime,Yes,No,No,Yes,Yes,No,Short cycle diploma holders,Portuguese,Tourism,Professional higher technical course,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,Administrative staff,"Skilled Workers in Industry, Construction, and Craftsmen"
18,1,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate,Single,Female,Daytime,Yes,No,No,Yes,Yes,No,"1st phase—general contingent",Portuguese,Veterinary Nursing,Secondary education,Supplementary Accounting and Administration,Basic education 1st cycle (4th/5th year) or equivalent,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers"
20,1,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout,Single,Female,Daytime,Yes,No,No,Yes,No,No,"1st phase—general contingent",Portuguese,Journalism and Communication,Secondary education,General commerce course,Basic education 1st cycle (4th/5th year) or equivalent,Unskilled Workers,Intermediate Level Technicians and Professions
